kinase_i,kinase_j,PairCTS
ERBB4,LYN,0.40935567939416595
ERBB4,LCK,0.3965614496236586
ERBB4,HCK,0.3969703571515001
ERBB4,BLK,0.3411709765101005
ERBB4,FGR,0.39277983990615273
ERBB4,FRK,0.3585547803682579
ERBB4,PTK6,0.38091546484604283
ERBB4,SRMS,0.34844709826822157
ERBB4,PTK2,0.47861653290535106
ERBB4,PTK2B,0.36570808196924126
ERBB4,JAK1,0.38563646662189127
ERBB4,JAK2,0.4022354339197451
ERBB4,JAK3,0.38685338750743226
ERBB4,TYK2,0.36580346123452445
ERBB4,ABL1,0.41805350012069453
ERBB4,ABL2,0.356448136876173
ERBB4,ZAP70,0.36142738904653027
ERBB4,SYK,0.4211403434554214
ERBB4,BTK,0.3798312747810012
ERBB4,ITK,0.36339405538781255
ERBB4,TEC,0.38810006173701994
ERBB4,BMX,0.3578906082415704
ERBB4,TXK,0.3887492837776189
ERBB4,TNK1,0.40321767841818457
ERBB4,TNK2,0.3477056556632241
ERBB4,CSK,0.40621144434008444
ERBB4,MATK,0.3381628729336411
ERBB4,FER,0.3605504672612846
ERBB4,FES,0.37653089629029296
ERBB4,LMTK2,0.3998669970961123
ERBB4,LMTK3,0.4010045703827819
MET,MST1R,0.2186455849007301
MET,ALK,0.24576219071116107
MET,LTK,0.18402264360911522
MET,STYK1,0.17890491116452503
MET,KIT,0.2990972836929308
MET,PDGFRA,0.2676689431370385
MET,PDGFRB,0.286876284823715
MET,CSF1R,0.21600134711763874
MET,FLT3,0.25934369099781873
MET,FLT1,0.22969979029489307
MET,KDR,0.3593504221388534
MET,FLT4,0.2738494753695941
MET,TEK,0.19660724606931312
MET,TIE1,0.22648795043481737
MET,FGFR1,0.28385055023664774
MET,FGFR2,0.3113153707511096
MET,FGFR3,0.20514144726513514
MET,FGFR4,0.2191878684601883
MET,INSR,0.200319250606248
MET,IGF1R,0.341133509761663
MET,INSRR,0.22283573505850426
MET,NTRK1,0.30579998018693355
MET,NTRK2,0.2253762108590591
MET,NTRK3,0.21962280512376914
MET,AXL,0.29490304917466187
MET,MERTK,0.2353477208749724
MET,TYRO3,0.29533620334962357
MET,DDR1,0.1980980774568728
MET,DDR2,0.20135760299640637
MET,RET,0.28511597170401287
MET,ROR1,0.18631491261985517
MET,ROR2,0.18682723451888578
MET,MUSK,0.1626361019916625
MET,AATK,0.4344618758952986
MET,EPHA1,0.40749554310583924
MET,EPHA2,0.4736031942649252
MET,EPHA3,0.44707321874354755
MET,EPHA4,0.4061859970916891
MET,EPHA5,0.47062310898749865
MET,EPHA6,0.3886504758951112
MET,EPHA7,0.4077673404804112
MET,EPHA8,0.4276487257103534
MET,EPHA10,0.393130054221709
MET,EPHB1,0.4260272964423567
MET,EPHB2,0.4127550143862797
MET,EPHB3,0.4131228975213918
MET,EPHB4,0.40160092416331683
MET,EPHB6,0.39260316746205953
MET,ROS1,0.4378834144242745
MET,RYK,0.4177906536125072
MET,PTK7,0.40071371976055514
MET,SRC,0.46288310653517223
MET,YES1,0.44629879556834584
MET,FYN,0.4487440250912769
MET,LYN,0.4380614686187891
MET,LCK,0.4252672388482817
MET,HCK,0.4256761463761232
MET,BLK,0.3698767657347236
