trial,spearman_rho,top10_overlap,top20_overlap,w_centrality,w_essentiality,w_survival,w_druggability
195,0.9902374778779273,1.0,0.85,0.3539610046342133,0.23591650478975498,0.2693008085839147,0.14082168199211703
196,0.9374079104416182,0.9,0.85,0.2335259840540433,0.3426324640941541,0.13698455982583904,0.28685699202596354
197,0.9534263489319668,0.8,0.85,0.23440323690095544,0.12311002857236925,0.36688527812979216,0.27560145639688327
198,0.8935835699880643,0.9,0.8,0.26116898989993814,0.19881057360546747,0.11831597634759529,0.421704460146999
199,0.9381322797053133,0.9,0.85,0.2506617972795959,0.14941457373478156,0.21799077311154225,0.3819328558740804
200,0.94111207144915,0.9,0.8,0.2937476213080645,0.15358318318546782,0.4273024516576288,0.12536674384883895
201,0.9792896242334445,0.9,0.85,0.3861236474937604,0.2385157649116889,0.18167831459457467,0.19368227299997615
202,0.9447833065810594,0.9,0.85,0.3072947565896525,0.37554520201105474,0.11332054583394932,0.20383949556534348
203,0.9438119932501954,0.8,0.9,0.16417884811028494,0.26495047508532804,0.26046472159314304,0.31040595521124414
204,0.9560274931061447,0.9,0.85,0.3283366548400972,0.1371313154890378,0.2053251593202191,0.32920687035064594
205,0.993546528377989,1.0,0.85,0.33945633498460775,0.20265893509255636,0.27912022824047666,0.17876450168235938
206,0.9424620323496727,0.8,0.9,0.14690270389099058,0.3046337027845849,0.29616757950969375,0.2522960138147309
207,0.9789274396015969,1.0,0.9,0.26753783996929853,0.18852713999283618,0.25098346026742824,0.292951559770437
208,0.9771494423179816,0.9,0.8,0.4078440140894897,0.15175109043799428,0.2641253800358046,0.17627951543671128
209,0.9967568012511833,1.0,1.0,0.2800280230416354,0.23639262423317925,0.26218118750226793,0.22139816522291747
210,0.941885829526279,0.9,0.75,0.44298174943721896,0.20259315694257926,0.13129784316149654,0.2231272504587052
211,0.9818413795941886,1.0,0.9,0.22800489398655369,0.24006046045919252,0.291449168790502,0.2404854767637519
212,0.8724780837140387,0.8,0.75,0.1704054857934483,0.14174340017845696,0.22031228196763855,0.4675388320604562
213,0.8274190229246408,0.7,0.7,0.2543333359427107,0.18277749073729696,0.061101233221470604,0.5017879400985217
214,0.9224924887846235,0.9,0.8,0.34378406743596357,0.28293635917338883,0.08346403034355451,0.28981554304709306
215,0.980376178128987,1.0,0.75,0.37624835939189133,0.27507605299386667,0.1773708130619389,0.17130477455230303
216,0.9569988064370086,0.9,0.75,0.4344985256146331,0.20841481910591467,0.15433026875338796,0.20275638652606426
217,0.9523397950364242,0.9,0.9,0.25561636712811575,0.12187077916772858,0.38530696367782424,0.23720589002633144
218,0.9168292381775526,0.8,0.8,0.25706617303254903,0.45228181615536484,0.12393077805711276,0.16672123275497341
219,0.9734452813104497,1.0,0.95,0.2793326137172651,0.3570062279820776,0.17936156033421033,0.18429959796644696
220,0.9320245297773387,0.8,0.75,0.24028048024007828,0.44769081443226344,0.18799622171943745,0.124032483608221
221,0.8306622216734576,0.7,0.75,0.0991845842496458,0.15816994466721068,0.24413395269028582,0.49851151839285757
222,0.9317281968967361,0.8,0.85,0.1706458044927921,0.20443958515251023,0.3986944988439018,0.22622011151079593
223,0.9557970119767871,0.9,0.8,0.23943953383940253,0.4005095122868629,0.22728168004433602,0.13276927382939863
224,0.9622504835987981,0.9,0.8,0.3600913921126813,0.09238625081052088,0.3330834189829855,0.21443893809381234
225,0.9922953451043337,1.0,1.0,0.25022276190779974,0.24720634345417183,0.269231979683994,0.23333891495403444
226,0.9337202123718977,0.9,0.8,0.3596988504418119,0.24256028441717684,0.10276938584866319,0.294971479292348
227,0.8645429476890151,0.8,0.85,0.09263057871203095,0.27451180118123203,0.22060128043281238,0.41225633967392467
